|CODPROD|DESCRICAO                               |
|319    |AZEITONA VDE 28 32 BAR 52KG ALIMENKO    |
|320    |MORTADELA DE FRANGO REZENDE             |
|321    |MORTADELA TUBULAR GRAN REZENDE          |
|322    |LINGUICA CALABRESA COZ DEF 5KG PRIETO   |
|323    |MAIONESE QUERO 980GRS                   |
|324    |QUEIJO GOUDA 3,0 2G                     |
|325    |MOCHILA PARA ENTREGA DE LANCHES         |
|326    |MOLHO INGLES 900ML PET MARIZA           |
|327    |MOLHO PIMENTA VERMELHA 900ML PET MARIZA |
|328    |ASPARGOS BCOS S PELE VD 395GRS ALIMENKO |
|329    |PA PARA PIZZA MADEIRA CEDRO             |
|330    |MOSTARDA SACHET 7GRSCREMMY              |
|331    |OREGANO DI SALERNO 1KG                  |
|332    |MOLHO ERVAS FINAS KENKO 12X180ML        |
|333    |PALMITO ACAI PICADO 270GRS PALMIZA      |
|334    |PEITO DE FRANGO COZ DEF GRANEL PRIETO   |
|335    |POLPA DE TOMATE QUERO 1050KG            |
|336    |PRESUNTO COZIDO S CAPA DE GORD PRIETO   |
|337    |GORDURA PASTOSA 15KG                    |
|338    |AZEITONA VERDE 28 32 BALDE 14KG ALIMENKO|
|339    |COXA C SOB COXA NAT IND MISTER FRANGO   |
|340    |CHOC COB TOP AO LEITE 1KG HARALD        |
|341    |AZEITONA VERDE ARAUCO 20 24 6X2GRS      |
|342    |REQUEIJAO BISNAGA 8X1,8KG LAPORCELA     |
|343    |BACON EM MANTA PRIETO                   |
|344    |QUEIJO PROVOLONE GIROLANDA              |
|345    |REQUEIJAO BISN LAPORCELA 8X1,8KG        |
|346    |SUPORTE DE ARAME PARA MOCHILA           |
|348    |CHURRASQUETA 4KG SAO MATEUS             |
|349    |TEMPERO COMPLETO SESM PIMENTA 1KG MARIZA|
|350    |TOMATE SECO BAL 1KG ARCOBELLO           |
|351    |TOMATE SECO BAL 3KG ARCOBELLO           |
|352    |VINAGRE MINHOTO ALCOOL 12X750ML         |
|353    |AZEITONA VERDE 24 28 BAL 14KG ALIMENKO  |
|354    |ASPARGOS BRANCOS EURO VIDRO 330GRS      |
|355    |MORTADELA 13KG SADILAR                  |
|356    |MOLHO DE PIZ SMART 4X3,1KG              |
|357    |VINAGRE FIGUEIRA ALCOOL 12X750ML        |
|358    |FILTRO A S C 1000ML                     |
|359    |AZEITE OLIV PORT FIGUEIRA DA FOZ 500ML  |
|360    |REQUEIJAO BISN PURA NATA 8X1,8KG ESPECIA|
|361    |VINAGRE MINHOTO ALHO 12X500ML           |
|362    |QUEIJO MUSSARELA SERVE BEM              |
|363    |QUEIJO MUSSARELA CONQUISTA              |
|366    |PREPARADO CREMOSO GOSTOSAO 3KG          |
|367    |VINAGRE FIGUEIRA ALCOOL 12X500ML        |
|368    |QUEIJO MUSSARELA MULTIBOM               |
|370    |CHOC  MELKEN  MEIO AMARGO 10X1 KG HARALD|
|371    |ALHO PURO TRIT DIMAS 48X200G            |
|372    |SALSICHA DUBOI 5KG                      |
|374    |TEMPERO COMPLET C/PIM CREMY 24X300G     |
|375    |TEMPERO COMPLET S/PIM CREMY 24X300G     |
|376    |TEMPERO ALHO E SAL CREMY 24X300G        |
|377    |TEMPERO COMPLET C/PIM CREMY 12X1KG      |
|378    |QUEIJO COALHO CRISTAL                   |
|381    |ACUCAR REFINADO IMPALPAVEL BIGMIX 1KG   |
|383    |CHOCOLATE EM PO 50% 1KG BIGMIX          |
|384    |CHOCOLATE EM PO 32% 1KG BIGMIX          |
|386    |FERMENTO EM PO QUIMICO 1KG BIGMIX       |
|396    |MACAX FRIOS GRIL PALITO 01 KG  CX 12 KG |
|397    |QUEIJO COALHO CRISTAL                   |
|399    |SALSICHA HOT DOG SADILAR 5KG            |
|401    |QUEIJO MUSSARELA ILDA                   |
|403    |MASSA PASTEL PANUTS 1KG                 |
|405    |PRESUNTO PERU COZ SADIA FS              |
|406    |QUEIJO COALHO LIGIA                     |
|407    |GOIABADA CREMOSA FUGINE SUP 24X250GR    |
|409    |LEITE LONGA VIDA ITALAC 12X1LT          |
|411    |PEITO FRAN NAT IND MISTER FRA 18KG      |
|413    |QUEIJO PARMESAO TROPICAL ILDA           |
|415    |BATATA PRE FRITA PERDIGAO 2,5KG         |
|417    |FILE PEITO FRAN NAT IND PRAMIN 22KG     |
|418    |PEITO FRAN NAT IND PRAMIN 20KG          |
|420    |ERVILHA SACHE FUGINE 6X2KG              |
|421    |TEMPERO ALHO E SAL CREMY 12X1KG         |
|423    |SAZON PROFIS VERMELHO 6X900GR           |
|425    |MOLHO INGLES KENKO 24X150ML             |
|426    |KIT PARA DESCONTO                       |
|428    |LING RETA SADIA                         |
|430    |LANCHE WILSON SEARA                     |
|432    |LING CAL COZ DEF CURVA 5KG PRIETO       |
|434    |PRESUNTO COZ PRIETO CX 6,7KG - 2 PC     |
|436    |LING CAL CURVA 6X2,5KG SADIA            |
|438    |CALDO DE GALINHA VIGOR  6X1,050         |
|439    |CALDO DE CARNE VIGOR  6X1,050           |
|441    |POLPA SAPOTI DOSADO 500G- PCT 5 UN      |
|443    |MORTADELA TIPO BOLONH SEARA PC 5KG      |
|445    |COSTELA BOVINA TIRAS PLENA 25KG         |
|447    |FERMENTO INSTANTANEO MS MAURI 500GR     |
|449    |MILHO QUERO LT 24X200G                  |
|451    |CHOC. EM PO 50% 10X1,05KG CONF HARALD   |
|452    |CACAU EM PO 50% 10X200G MELKEN          |
|454    |MARGARINA MED DE OURO 6X3KG             |
|456    |MARGARINA VEG.CREM.C/SAL QUALY 24X250G  |
|457    |MARGARINA VEG.CREM.C/SAL QUALY24X 500G  |
|458    |PEITO DE FRANGO PIONEIRO CX 18KG        |
|459    |SALSICHA WILSON 5KG                     |
|462    |PALMITO SABOROSO PICADO 15X270G         |
|463    |PALMITO ACAI INTEIRO TAUA 0,300G        |
|465    |MILHO VERDE GOIAS-BONARE  LT 24X170G    |
|466    |PEITO FRAN NAT IND PERDIGÃO CX15KG      |
|468    |CAIXA  PIZZA K 35 PINTADA               |
|470    |GUARDANAPOS DE PAPEL FD C/20UN/ 4000    |
|471    |SACO DE PAPEL VIAGEM  FD C/2000 40X25   |
|472    |SACO DE PASTEL 25 FD C/ 4MIL UN         |
|474    |MOLHO DE ALHO CEPERA 24X150ML           |
|475    |MOLHO PIM VERM. CEPERA 12X150ML         |
|476    |MOLHO SHOYU CEPERA 12X150ML             |
|478    |AZEITE GALLO E. VIRGEM VD 20X500ML      |
|480    |AZEITE GALLO PURO LT 40X200ML           |
|482    |AZEITE GALLO PURO OLIVIA PET 6X2LT      |
|484    |FARINHA DE TRIGO DONA MARIA 10X01 KG    |
|486    |ARROZ PRIMOR BRANCO 30X1KG              |
|487    |ARROZ PRIMOR PARBO 30X1KG               |
|489    |BATATA PALHA 400G                       |
|491    |APRESUNTADO FOOD SERVICE SADIA          |
|492    |PRESUNTO SUINO SADIA                    |
|494    |AZEITE GALLO E. VIRGEM LT 40X200ML      |
|496    |FILE DE PEITO PERDIGAO - BANDEJA CX12KG |
|498    |FARINHA ESPECIAL P/PIZZA D. MARIA PC 5KG|
|499    |FARINHA ESPECIAL P/PASTEL D. MARIA PC5KG|
|501    |AZEITE GALLO E.V MANJERICAO 6X250ML     |
|502    |APRESUNTADO PERDIGAO CX 7,5KG           |
|504    |LEITE COCO ADELCOCO 12X500ML            |
|505    |PEITO DE FRANGO REGINA CX 10GK          |
|506    |FILE PEITO FRANGO REGINA  12KG          |
|508    |PURE DE BATATA AJINOMOTO 6X1KG          |
|509    |MOLHO PIM VERM.CEPERA 12X1KG            |
|510    |OREGANO EM FOLHAS TAAZ 10X400G          |
|512    |CARNE DE SOL ACEM REALEZA               |
|513    |PRESUNTO SUINO REZENDE                  |
|514    |AZEITONA VERDE OLIVITA  281/320 BL 2KG  |
|515    |PEITO FRANGO INDIV FRIAVES CX 18KG      |
|516    |FARINHA TRIGO C/FERM.DONA MARIA 10X01 KG|
|518    |MASSA PASTEL REDEPAN CX10KG             |
|520    |FAR.DE TRIG FINNA C/  FERMENTO M D B. FD|
|521    |CHESTER LANCHE PERDIGAO CX 15KG         |
|523    |AZEITE GALLO E. VIRGEM VD 144X15ML      |
|525    |REQUEIJAO CORONATA 1,8 KGS              |
|527    |REQUEIJAO CORONATA TRAD 1,8 KGS         |
|529    |QUEIJO MUSSARELA CONQUISTA              |
|531    |ERVILHA GOIAS VERDE LT 24X200G          |
|533    |EXTRATO TOM BONARE SC  6X2KG            |
|534    |MOLHO DE TOM PIZZA BONARE  SC 340G      |
|535    |MOLHO PIZZA BONARE SC 6X2KG             |
|536    |MOLHO PRED YAKISSOBA                    |
|537    |LING P/ CHURRAS WILSON                  |
|539    |QUEIJO MUS CONQUISTA                    |
|541    |MOLHO TRAD BONARE                       |
|542    |EXTRATO TOM BONARE SC 32X340G           |
|543    |EXTRATO TOM BONARE SC 24X190G           |
|544    |LING CAL SEARA 2,5KG CX 10KG            |
|545    |MANTEIGA DA TERRA MATUTINHA CX 20X830G  |
|546    |BATATA TRAD MCCAIN 6X2,5KG -CX 15KG     |
|547    |GORD VEGET FRY 15KG LIQUIDA             |
|548    |FILE DE PEITO S/ OSSO- UNIAVES CX 18KG  |
|550    |PEPERONI FAT SADIA 1KG                  |
|551    |AZEIT PRETA CALIF.20/24 ALIMENKO 2KG    |
|552    |QUEIJO MUSSARELA MILHÃ                  |
|553    |MILHO VERDE VAPOR  FUGINI 24X200G       |
|554    |FILE PEITO CONG SOMAVE CX18 KG          |
|555    |PEITO FRANGO IND SOMAVE CX18 KG         |
